107,91,107,105,90,88,89,90,106,106,104,105,90,105,91,106,89,107,91,88,90,91,105,107,89
88,105,90,89,105,91,106,105,104,106,104,106,106,90,90,106,106,90,106,89,105,89,107,106,107
91,105,90,89,90,104,91,107,90,106,106,104,89,90,91,88,89,91,88,88,107,107,107,107,104
106,88,89,88,91,90,105,105,91,90,91,107,91,90,90,90,106,88,91,107,91,91,90,89,105
88,90,91,91,91,88,105,91,106,88,106,88,106,107,105,106,105,89,104,106,90,88,89,88,105
107,105,105,88,89,106,106,91,107,106,89,107,88,88,104,107,105,104,90,106,91,88,106,104,89
105,90,90,90,91,89,88,106,89,89,90,88,91,88,107,106,90,88,90,104,107,91,105,88,105
107,106,106,105,90,104,107,88,91,106,91,105,91,106,105,88,106,106,90,91,106,89,90,105,105
105,105,90,106,104,104,104,106,106,91,104,107,90,104,89,107,105,89,88,106,104,91,89,89,88
90,91,88,104,107,91,91,91,105,88,106,106,105,105,105,106,89,106,106,106,106,89,106,105,91
89,106,89,107,106,106,105,105,90,107,90,88,104,90,104,107,107,104,106,88,106,105,90,104,104
104,90,105,91,105,89,88,88,89,88,104,105,89,106,89,106,106,107,88,89,89,105,105,90,104
107,107,90,89,106,106,88,88,89,104,105,105,90,90,91,104,104,89,88,88,89,89,91,106,106
91,88,106,88,90,107,89,104,91,107,107,104,89,106,105,90,89,89,106,90,106,88,89,91,89
104,104,105,106,105,106,105,89,89,107,88,88,105,90,88,107,90,107,104,104,89,88,91,89,106
91,107,88,90,104,105,104,107,105,90,89,90,88,91,88,89,89,106,106,89,91,89,106,105,104
106,106,105,89,104,105,89,88,105,105,89,107,90,89,91,91,107,91,106,104,105,90,107,88,106
106,91,106,107,90,89,89,104,106,106,88,90,106,106,88,107,105,91,89,90,106,91,90,107,105
104,105,88,107,89,104,88,106,88,91,105,107,91,105,104,107,91,91,89,105,89,89,88,104,88
